| code              | min(dt)    |
+-------------------+------------+
| -                 | 2016-03-09 |
| 000828            | 2016-09-27 |
| 002514            | 2016-07-21 |
| 150019            | 2016-04-01 |
| 159915            | 2017-10-09 |
| 204001            | 2016-03-17 |
| 204002            | 2016-03-17 |
| 204003            | 2016-10-19 |
| 204004            | 2017-06-29 |
| 204007            | 2016-09-08 |
| 204028            | 2017-09-27 |
| 300277            | 2017-01-17 |
| 300315            | 2018-03-19 |
| 510050            | 2016-03-15 |
| 510050C1702M02350 | 2017-01-17 |
| 510050C1806M02650 | 2018-05-30 |
| 510050P1605M02000 | 2016-04-20 |
| 510050P1612M02250 | 2016-10-31 |
| 510050P1612M02300 | 2016-11-10 |
| 510050P1612M02350 | 2016-12-06 |
| 510050P1612M02400 | 2016-11-24 |
| 510050P1701M02300 | 2017-01-03 |
| 510050P1701M02350 | 2017-01-03 |
| 510050P1704M02400 | 2017-02-24 |
| 510050P1707M02450 | 2017-06-06 |
| 510050P1709M02500 | 2017-07-05 |
| 510050P1709M02550 | 2017-07-06 |
| 510050P1709M02650 | 2017-07-18 |
| 510050P1709M02700 | 2017-08-04 |
| 510050P1712M02450 | 2017-06-06 |
| 510050P1804M02600 | 2018-04-02 |
| 510050P1804M02700 | 2018-04-02 |
| 510050P1805M02650 | 2018-04-17 |
| 510050P1805M02700 | 2018-05-22 |
| 510050P1806M02600 | 2018-05-31 |
| 600000            | 2016-06-27 |
| 600015            | 2016-05-09 |
| 600016            | 2018-09-04 |
| 600028            | 2016-03-07 |
| 600029            | 2018-09-04 |
| 600030            | 2016-03-07 |
| 600050            | 2016-05-03 |
| 600089            | 2016-05-03 |
| 600104            | 2016-05-09 |
| 600109            | 2018-05-03 |
| 600150            | 2018-05-03 |
| 600583            | 2017-11-06 |
| 600585            | 2016-05-03 |
| 600606            | 2018-08-01 |
| 600837            | 2017-05-02 |
| 600887            | 2016-03-23 |
| 600958            | 2018-08-01 |
| 600999            | 2018-05-03 |
| 601088            | 2016-03-07 |
| 601166            | 2018-08-01 |
| 601169            | 2018-08-01 |
| 601186            | 2016-09-01 |
| 601211            | 2018-09-04 |
| 601288            | 2016-05-03 |
| 601390            | 2018-09-04 |
| 601668            | 2016-03-07 |
| 601688            | 2017-05-02 |
| 601800            | 2016-05-26 |
| 601818            | 2016-05-09 |
| 601857            | 2016-03-07 |
| 601988            | 2016-05-03 |
| 601989            | 2018-05-03 |
| 601998            | 2017-05-02 |
| 603993            | 2018-09-04 |

